#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
A0A1Y6G5Q4/8-122     -            115 Bac_globin           PF01152.28   121   2.7e-08   32.6   0.2   1   1   2.2e-09   3.5e-08   32.2   0.2     9   118     1   109     1   112 0.84 tr|A0A1Y6G5Q4|A0A1Y6G5Q4_9BACI Truncated hemoglobin YjbI OS=Bacillus sp. OV166 OX=1882763 GN=SAMN05444673_4194 PE=4 SV=1
A0A3M8BBM9/1-146     -            146 Bac_globin           PF01152.28   121     0.014   14.2   0.0   1   1     0.001     0.016   13.9   0.0    10    77    23    89    21   131 0.81 tr|A0A3M8BBM9|A0A3M8BBM9_9BACL EAL domain-containing protein OS=Brevibacillus agri OX=51101 GN=EB820_01410 PE=4 SV=1
A0A2T1DG00/17-156    -            140 Bac_globin           PF01152.28   121     0.014   14.2   0.0   1   1    0.0011     0.018   13.8   0.0    11    83    20    94    15   125 0.73 tr|A0A2T1DG00|A0A2T1DG00_9CYAN Uncharacterized protein OS=filamentous cyanobacterium CCP2 OX=2107700 GN=C7B76_07375 PE=4 SV=1
A0A2M8DJN8/27-171    -            145 Bac_globin           PF01152.28   121     0.014   14.2   0.0   1   1    0.0012     0.019   13.7   0.0    10    59    22    70    16    95 0.77 tr|A0A2M8DJN8|A0A2M8DJN8_9BACT Histidine kinase domain-containing protein OS=Nitrospirae bacterium CG_4_9_14_0_8_um_filter_70_14 OX=1974059 GN=CO080_02605 PE=4 SV=1
A0A2P5LAW9/20-174    -            155 Bac_globin           PF01152.28   121     0.014   14.2   0.0   1   1    0.0019     0.031   13.0   0.0    17    57    36    75    30    86 0.86 tr|A0A2P5LAW9|A0A2P5LAW9_9PROT Histidine kinase OS=Methylotenera sp. OX=2051956 GN=CTY32_06975 PE=4 SV=1
A0A2S5QNF8/20-174    -            155 Bac_globin           PF01152.28   121     0.014   14.2   0.0   1   1    0.0019     0.031   13.0   0.0    17    57    36    75    30    86 0.86 tr|A0A2S5QNF8|A0A2S5QNF8_9PROT Histidine kinase OS=Methylotenera sp. OX=2051956 GN=CTY14_02375 PE=4 SV=1
A0A351RBP0/20-174    -            155 Bac_globin           PF01152.28   121     0.014   14.2   0.0   1   1    0.0019     0.031   13.0   0.0    17    57    36    75    30    86 0.86 tr|A0A351RBP0|A0A351RBP0_9PROT PAS domain S-box protein OS=Methylotenera mobilis OX=359408 GN=DCW48_07810 PE=4 SV=1
A0A177LAA2/37-188    -            152 Bac_globin           PF01152.28   121     0.014   14.1   0.0   1   1    0.0015     0.024   13.4   0.0    10    57    28    74    26    99 0.86 tr|A0A177LAA2|A0A177LAA2_9BACI Chemotaxis protein OS=Domibacillus aminovorans OX=29332 GN=AWH49_08515 PE=4 SV=1
B9Z3Y4/15-160        -            146 Bac_globin           PF01152.28   121     0.014   14.1   0.0   1   1    0.0012     0.019   13.7   0.0    14   106    26   123    23   134 0.83 tr|B9Z3Y4|B9Z3Y4_9NEIS Diguanylate cyclase/phosphodiesterase with GAF sensor OS=Pseudogulbenkiania ferrooxidans 2002 OX=279714 GN=FuraDRAFT_2069 PE=4 SV=1
A0A1H2W1R8/37-198    -            162 Bac_globin           PF01152.28   121     0.014   14.1   0.1   1   1    0.0016     0.026   13.2   0.1    10   113    28   136    25   144 0.66 tr|A0A1H2W1R8|A0A1H2W1R8_HALVA Heam-based aerotactic trancducer OS=Haloarcula vallismortis OX=28442 GN=SAMN05443574_106133 PE=4 SV=1
M0JFA9/37-198        -            162 Bac_globin           PF01152.28   121     0.014   14.1   0.1   1   1    0.0016     0.026   13.2   0.1    10   113    28   136    25   144 0.66 tr|M0JFA9|M0JFA9_HALVA Heme-based aerotactic transducer HemAT OS=Haloarcula vallismortis ATCC 29715 OX=662477 GN=C437_09513 PE=4 SV=1
A0A1G5I5U6/7-157     -            151 Bac_globin           PF01152.28   121     0.014   14.1   0.0   1   1    0.0014     0.022   13.5   0.0    10    57    28    74    26    99 0.82 tr|A0A1G5I5U6|A0A1G5I5U6_9BACL Heam-based aerotactic trancducer OS=Paenibacillus polysaccharolyticus OX=582692 GN=SAMN05720606_10851 PE=4 SV=1
A0A1T2XAE9/9-155     -            147 Bac_globin           PF01152.28   121     0.014   14.1   0.1   1   1    0.0016     0.026   13.3   0.1    10    54    26    69    23    75 0.80 tr|A0A1T2XAE9|A0A1T2XAE9_9BACL Chemotaxis protein OS=Paenibacillus selenitireducens OX=1324314 GN=BVG16_15960 PE=4 SV=1
A0A2S6BKK0/7-167     -            161 Bac_globin           PF01152.28   121     0.014   14.1   0.0   1   2     0.022      0.36    9.6   0.0    15    78    34    96    26   101 0.77 tr|A0A2S6BKK0|A0A2S6BKK0_9RHIZ Globin-coupled sensor protein OS=Rhizobium sp. KAs_5_22 OX=2067668 GN=C0075_21120 PE=4 SV=1
A0A2S6BKK0/7-167     -            161 Bac_globin           PF01152.28   121     0.014   14.1   0.0   2   2       3.5        57    2.5   0.0    73    96   120   143   116   154 0.83 tr|A0A2S6BKK0|A0A2S6BKK0_9RHIZ Globin-coupled sensor protein OS=Rhizobium sp. KAs_5_22 OX=2067668 GN=C0075_21120 PE=4 SV=1
D3FSA7/33-185        -            153 Bac_globin           PF01152.28   121     0.015   14.1   0.1   1   1    0.0012      0.02   13.7   0.1     9    79    27    96    26   138 0.75 tr|D3FSA7|D3FSA7_BACPE Putative heme-based aerotactic transducer (MCP) OS=Bacillus pseudofirmus (strain OF4) OX=398511 GN=hemAT PE=4 SV=1
U6SS08/35-187        -            153 Bac_globin           PF01152.28   121     0.015   14.1   0.1   1   1    0.0012      0.02   13.7   0.1     9    79    27    96    26   138 0.75 tr|U6SS08|U6SS08_9BACI Methyl-accepting transducer domain-containing protein OS=Bacillus marmarensis DSM 21297 OX=1188261 GN=A33I_10890 PE=4 SV=1
A0A165RME1/18-168    -            151 Bac_globin           PF01152.28   121     0.015   14.1   0.0   1   1    0.0012     0.019   13.7   0.0    10    79    28    96    26   137 0.76 tr|A0A165RME1|A0A165RME1_9GAMM GGDEF domain-containing protein OS=Pseudoalteromonas shioyasakiensis OX=1190813 GN=A3733_06520 PE=4 SV=1
A0A2E8EX92/13-164    -            152 Bac_globin           PF01152.28   121     0.015   14.1   0.0   1   1    0.0014     0.023   13.4   0.0    10    81    28    99    26   103 0.85 tr|A0A2E8EX92|A0A2E8EX92_9PLAN Methyl-accepting transducer domain-containing protein OS=Planctomyces sp. OX=37635 GN=CMJ45_01910 PE=4 SV=1
A0A1M7H404/18-169    -            152 Bac_globin           PF01152.28   121     0.015   14.1   0.0   1   1    0.0012      0.02   13.6   0.0    11    82    29    99    26   137 0.72 tr|A0A1M7H404|A0A1M7H404_9GAMM Diguanylate cyclase (GGDEF) domain-containing protein OS=Halomonas cupida OX=44933 GN=SAMN05660971_02477 PE=4 SV=1
A0A2S5KYQ2/20-174    -            155 Bac_globin           PF01152.28   121     0.015   14.1   0.1   1   1    0.0021     0.034   12.9   0.1    17    57    36    75    30    86 0.85 tr|A0A2S5KYQ2|A0A2S5KYQ2_9PROT Histidine kinase OS=Methylotenera sp. OX=2051956 GN=CTY35_11120 PE=4 SV=1
A0A3M1E6V0/18-155    -            138 Bac_globin           PF01152.28   121     0.015   14.0   0.0   1   1     0.001     0.017   13.9   0.0    12    75    20    83    15   125 0.76 tr|A0A3M1E6V0|A0A3M1E6V0_9BACT Histidine kinase domain-containing protein OS=Planctomycetes bacterium OX=2026780 GN=D6788_01950 PE=4 SV=1
A0A3N5WAI6/21-169    -            149 Bac_globin           PF01152.28   121     0.015   14.0   0.1   1   1    0.0012      0.02   13.6   0.1     9    82    23    95    22   128 0.85 tr|A0A3N5WAI6|A0A3N5WAI6_9PLAN GAF domain-containing protein (Fragment) OS=Planctomycetaceae bacterium OX=2026779 GN=EHM35_04320 PE=4 SV=1
A0A2D8XEZ1/24-176    -            153 Bac_globin           PF01152.28   121     0.015   14.0   0.0   1   1    0.0013      0.02   13.6   0.0    11    98    30   116    25   138 0.76 tr|A0A2D8XEZ1|A0A2D8XEZ1_9RHIZ GGDEF domain-containing protein OS=Parvibaculum sp. OX=2024848 GN=CMI60_08775 PE=4 SV=1
A0A2S0U8B3/8-156     -            149 Bac_globin           PF01152.28   121     0.016   14.0   0.0   1   1    0.0014     0.023   13.4   0.0     9    57    26    73    24    98 0.80 tr|A0A2S0U8B3|A0A2S0U8B3_9BACL Chemotaxis protein OS=Paenibacillus sp. CAA11 OX=1532905 GN=DCC85_06980 PE=4 SV=1
A0A150U2W7/13-161    -            149 Bac_globin           PF01152.28   121     0.016   14.0   0.0   1   1    0.0017     0.027   13.2   0.0    10    59    28    76    21   129 0.80 tr|A0A150U2W7|A0A150U2W7_SORCE Histidine kinase OS=Sorangium cellulosum OX=56 GN=BE21_07925 PE=4 SV=1
A0A150SDT1/13-161    -            149 Bac_globin           PF01152.28   121     0.016   14.0   0.0   1   1    0.0016     0.025   13.3   0.0    10    59    28    76    21   134 0.80 tr|A0A150SDT1|A0A150SDT1_SORCE Histidine kinase OS=Sorangium cellulosum OX=56 GN=BE20_17410 PE=4 SV=1
A0A1R0X9W3/8-156     -            149 Bac_globin           PF01152.28   121     0.016   14.0   0.0   1   1    0.0017     0.027   13.2   0.0    12    57    29    73    26    91 0.87 tr|A0A1R0X9W3|A0A1R0X9W3_9BACL Chemotaxis protein OS=Paenibacillus odorifer OX=189426 GN=BSO21_17110 PE=4 SV=1
A0A1Q5P6M5/29-180    -            152 Bac_globin           PF01152.28   121     0.016   14.0   0.4   1   1    0.0014     0.023   13.4   0.4    14   104    32   121    28   139 0.77 tr|A0A1Q5P6M5|A0A1Q5P6M5_9BACI Chemotaxis protein OS=Domibacillus mangrovi OX=1714354 GN=BLL40_03100 PE=4 SV=1
A0A3M1QI43/8-156     -            149 Bac_globin           PF01152.28   121     0.016   14.0   0.0   1   1    0.0014     0.023   13.4   0.0    12    58    28    73    22   103 0.79 tr|A0A3M1QI43|A0A3M1QI43_9BACT Histidine kinase domain-containing protein (Fragment) OS=Nitrospirae bacterium OX=2026887 GN=D6739_10865 PE=4 SV=1
G2J3V0/15-160        -            146 Bac_globin           PF01152.28   121     0.016   14.0   0.0   1   1    0.0014     0.022   13.5   0.0    14   106    26   123    23   134 0.82 tr|G2J3V0|G2J3V0_PSEUL Diguanylate cyclase/phosphodiesterase with GAF sensor(S) OS=Pseudogulbenkiania sp. (strain NH8B) OX=748280 GN=NH8B_1930 PE=4 SV=1
A0A1L5PSM9/19-167    -            149 Bac_globin           PF01152.28   121     0.016   13.9   0.0   1   1    0.0015     0.023   13.4   0.0    13    78    32    96    27   104 0.80 tr|A0A1L5PSM9|A0A1L5PSM9_PSEPU Uncharacterized protein OS=Pseudomonas putida OX=303 GN=BL240_17630 PE=4 SV=1
A0A2D5HF80/10-163    -            154 Bac_globin           PF01152.28   121     0.016   13.9   0.0   1   1    0.0014     0.023   13.4   0.0    14    64    31    82    18   100 0.74 tr|A0A2D5HF80|A0A2D5HF80_9SPHN Globin-coupled sensor protein OS=Novosphingobium sp. OX=1874826 GN=CMH85_15145 PE=4 SV=1
A0A1V0UZ10/9-157     -            149 Bac_globin           PF01152.28   121     0.016   13.9   0.0   1   1    0.0016     0.025   13.3   0.0    11    79    27    94    21    99 0.79 tr|A0A1V0UZ10|A0A1V0UZ10_9BACL Chemotaxis protein OS=Paenibacillus larvae subsp. pulvifaciens OX=1477 GN=B5S25_05750 PE=4 SV=1
A0A2A5JXR7/23-171    -            149 Bac_globin           PF01152.28   121     0.016   13.9   0.0   1   1    0.0016     0.025   13.3   0.0    11    79    27    94    21    99 0.79 tr|A0A2A5JXR7|A0A2A5JXR7_PAELB Heme-based dioxygen sensor-like protein OS=Paenibacillus larvae subsp. larvae (strain NRRL B-3650 / LMG 16245) OX=741161 GN=PL1_1191 PE=4 SV=1
A0A2L1UHH4/9-157     -            149 Bac_globin           PF01152.28   121     0.016   13.9   0.0   1   1    0.0016     0.025   13.3   0.0    11    79    27    94    21    99 0.79 tr|A0A2L1UHH4|A0A2L1UHH4_9BACL Methyl-accepting chemotaxis protein signaling domain protein OS=Paenibacillus larvae subsp. larvae OX=147375 GN=ERICIII_03759 PE=4 SV=1
V9W6R1/23-171        -            149 Bac_globin           PF01152.28   121     0.016   13.9   0.0   1   1    0.0016     0.025   13.3   0.0    11    79    27    94    21    99 0.79 tr|V9W6R1|V9W6R1_9BACL Methyl-accepting chemotaxis protein signaling domain protein OS=Paenibacillus larvae subsp. larvae DSM 25430 OX=697284 GN=ERIC2_c29540 PE=4 SV=1
W2E7W6/23-171        -            149 Bac_globin           PF01152.28   121     0.016   13.9   0.0   1   1    0.0016     0.025   13.3   0.0    11    79    27    94    21    99 0.79 tr|W2E7W6|W2E7W6_9BACL Methyl-accepting chemotaxis protein signaling domain protein OS=Paenibacillus larvae subsp. larvae DSM 25719 OX=697286 GN=ERIC1_1c12830 PE=4 SV=1
A0A3A8K787/9-162     -            154 Bac_globin           PF01152.28   121     0.016   13.9   0.0   1   1    0.0013     0.021   13.6   0.0     9    98    27   116    25   138 0.74 tr|A0A3A8K787|A0A3A8K787_9DELT Histidine kinase OS=Corallococcus sp. CA053C OX=2316732 GN=D7V97_25850 PE=4 SV=1
A0A223FIB5/52-201    -            150 Bac_globin           PF01152.28   121     0.016   13.9   0.0   1   1    0.0016     0.026   13.3   0.0    10    57    27    73    25    95 0.84 tr|A0A223FIB5|A0A223FIB5_9BACI Chemotaxis protein OS=Anoxybacillus flavithermus OX=33934 GN=AF2641_10165 PE=4 SV=1
A0A1Q3HLB0/4-157     -            154 Bac_globin           PF01152.28   121     0.017   13.9   0.0   1   1    0.0014     0.023   13.4   0.0    11    58    30    76    26   124 0.89 tr|A0A1Q3HLB0|A0A1Q3HLB0_9DELT Histidine kinase OS=Archangium sp. Cb G35 OX=1920190 GN=BO221_22715 PE=4 SV=1
A0A3E0R6B7/10-157    -            148 Bac_globin           PF01152.28   121     0.017   13.9   0.0   1   1    0.0019     0.031   13.0   0.0    11    57    26    71    21    82 0.85 tr|A0A3E0R6B7|A0A3E0R6B7_9BACL Chemotaxis protein OS=Cohnella sp. OX=1883426 GN=C6P35_17440 PE=4 SV=1
A0A0M9AHX7/37-197    -            161 Bac_globin           PF01152.28   121     0.017   13.9   0.1   1   1    0.0024     0.039   12.7   0.1    10    80    28    98    25   143 0.67 tr|A0A0M9AHX7|A0A0M9AHX7_9EURY Heme transporter CcmD OS=Haloarcula rubripromontorii OX=1705562 GN=AMS69_13330 PE=4 SV=1
S4Y563/15-163        -            149 Bac_globin           PF01152.28   121     0.018   13.8   0.0   1   1    0.0018     0.029   13.1   0.0    10    59    28    76    20   128 0.83 tr|S4Y563|S4Y563_SORCE Uncharacterized protein OS=Sorangium cellulosum So0157-2 OX=1254432 GN=SCE1572_35730 PE=4 SV=1
A0A1G6MMS9/31-184    -            154 Bac_globin           PF01152.28   121     0.018   13.8   0.0   1   1    0.0018     0.029   13.1   0.0    10    68    29    88    27   123 0.82 tr|A0A1G6MMS9|A0A1G6MMS9_9BACI Heam-based aerotactic trancducer OS=Terribacillus halophilus OX=361279 GN=SAMN05421663_1031 PE=4 SV=1
A4U3G9/5-102         -             98 Bac_globin           PF01152.28   121     0.018   13.8   0.0   1   1    0.0012     0.019   13.7   0.0    10    57    27    74    11    95 0.85 tr|A4U3G9|A4U3G9_9PROT Methyl-accepting chemotaxis protein OS=Magnetospirillum gryphiswaldense OX=55518 GN=MGR_2007 PE=4 SV=1
A0A1C2IRE6/14-156    -            143 Bac_globin           PF01152.28   121     0.018   13.8   0.0   1   1    0.0014     0.023   13.5   0.0    10    93    20   102    13   124 0.73 tr|A0A1C2IRE6|A0A1C2IRE6_ACITH Uncharacterized protein OS=Acidithiobacillus thiooxidans OX=930 GN=A6P07_05205 PE=4 SV=1
A0A1S2FCQ8/9-157     -            149 Bac_globin           PF01152.28   121     0.018   13.8   0.0   1   1    0.0019      0.03   13.1   0.0    11    55    27    70    24    94 0.82 tr|A0A1S2FCQ8|A0A1S2FCQ8_9BACL Chemotaxis protein OS=Paenibacillus sp. LC231 OX=1120679 GN=AK95_14015 PE=4 SV=1
A0A084ZPD5/17-154    -            138 Bac_globin           PF01152.28   121     0.018   13.8   0.0   1   1    0.0019      0.03   13.1   0.0    12    59    19    65    13   101 0.84 tr|A0A084ZPD5|A0A084ZPD5_9ENTR Putative heme-regulated two-component response regulator OS=Trabulsiella guamensis ATCC 49490 OX=1005994 GN=dosC PE=4 SV=1
A0A223D3M4/11-155    -            145 Bac_globin           PF01152.28   121     0.019   13.7   0.0   1   1    0.0084      0.13   11.0   0.0    13    64    28    80    23   100 0.78 tr|A0A223D3M4|A0A223D3M4_9BACL Methyl-accepting transducer domain-containing protein OS=Tumebacillus algifaecis OX=1214604 GN=CIG75_14230 PE=4 SV=1
A0A165MAM4/37-197    -            161 Bac_globin           PF01152.28   121     0.019   13.7   0.1   1   1    0.0026     0.042   12.6   0.1    10    80    28    98    25   144 0.67 tr|A0A165MAM4|A0A165MAM4_9EURY Methyl-accepting chemotaxis protein OS=Haloarcula sp. K1 OX=1622207 GN=AV929_10970 PE=4 SV=1
A0A1Y0IS18/8-157     -            150 Bac_globin           PF01152.28   121     0.019   13.7   0.1   1   1    0.0075      0.12   11.1   0.0    13    57    33    76    28   103 0.83 tr|A0A1Y0IS18|A0A1Y0IS18_9BACL Methyl-accepting transducer domain-containing protein OS=Tumebacillus avium OX=1903704 GN=CBW65_14900 PE=4 SV=1
F1BYN5/18-169        -            152 Bac_globin           PF01152.28   121     0.019   13.7   0.0   1   1    0.0015     0.024   13.4   0.0     9   112    27   129    25   137 0.77 tr|F1BYN5|F1BYN5_AERCA Diguanylate cyclase DcyA OS=Aeromonas caviae OX=648 GN=dcyA PE=4 SV=1
A0A328WKT7/9-157     -            149 Bac_globin           PF01152.28   121     0.019   13.7   0.0   1   1     0.002     0.032   13.0   0.0    11    55    27    70    24    93 0.82 tr|A0A328WKT7|A0A328WKT7_PAELA Chemotaxis protein OS=Paenibacillus lautus OX=1401 GN=DP091_06645 PE=4 SV=1
G0HWC8/37-197        -            161 Bac_globin           PF01152.28   121     0.019   13.7   0.1   1   1    0.0025      0.04   12.7   0.1    10    80    28    98    25   156 0.70 tr|G0HWC8|G0HWC8_HALHT Heme-based aerotactic transducer HemAT OS=Haloarcula hispanica (strain ATCC 33960 / DSM 4426 / JCM 8911 / NBRC 102182 / NCIMB 2187 / VKM B-1755) OX=634497 GN=hemAT PE=4 SV=1
V5TJ52/37-197        -            161 Bac_globin           PF01152.28   121     0.019   13.7   0.1   1   1    0.0025      0.04   12.7   0.1    10    80    28    98    25   156 0.70 tr|V5TJ52|V5TJ52_HALHI Heme transporter CcmD OS=Haloarcula hispanica N601 OX=1417673 GN=HISP_04800 PE=4 SV=1
A0A271M5N3/31-179    -            149 Bac_globin           PF01152.28   121     0.019   13.7   0.0   1   1    0.0018     0.028   13.2   0.0     9    62    26    80    23   137 0.72 tr|A0A271M5N3|A0A271M5N3_9BACI Chemotaxis protein OS=Bacillaceae bacterium SAOS 7 OX=2015052 GN=CD798_05475 PE=4 SV=1
A0A109MZ60/35-184    -            150 Bac_globin           PF01152.28   121     0.019   13.7   0.0   1   1    0.0017     0.027   13.2   0.0    11    65    26    81    21   135 0.77 tr|A0A109MZ60|A0A109MZ60_9BACI Methyl-accepting transducer domain-containing protein OS=Bacillus simplex OX=1478 GN=AS888_18305 PE=4 SV=1
E0IBA0/24-172        -            149 Bac_globin           PF01152.28   121      0.02   13.7   0.0   1   1    0.0018     0.029   13.1   0.0    14    57    30    72    20    98 0.82 tr|E0IBA0|E0IBA0_9BACL Methyl-accepting chemotaxis sensory transducer OS=Paenibacillus curdlanolyticus YK9 OX=717606 GN=PaecuDRAFT_2827 PE=4 SV=1
C6CZ88/6-157         -            152 Bac_globin           PF01152.28   121      0.02   13.7   0.0   1   1    0.0021     0.033   12.9   0.0    10    52    29    70    27    85 0.82 tr|C6CZ88|C6CZ88_PAESJ Methyl-accepting chemotaxis sensory transducer OS=Paenibacillus sp. (strain JDR-2) OX=324057 GN=Pjdr2_4768 PE=4 SV=1
A0A223EBH7/30-182    -            153 Bac_globin           PF01152.28   121      0.02   13.7   0.0   1   1    0.0017     0.028   13.2   0.0     9   113    28   132    24   139 0.80 tr|A0A223EBH7|A0A223EBH7_9BACI Methyl-accepting transducer domain-containing protein OS=Bacillus simplex NBRC 15720 = DSM 1321 OX=1349754 GN=BS1321_00680 PE=4 SV=1
A0A2E9T137/18-168    -            151 Bac_globin           PF01152.28   121      0.02   13.6   0.0   1   1    0.0015     0.024   13.4   0.0    10    79    28    96    25   136 0.78 tr|A0A2E9T137|A0A2E9T137_9GAMM GGDEF domain-containing protein OS=Pseudoalteromonadaceae bacterium OX=2026783 GN=CMK63_07835 PE=4 SV=1
A0A261QDB9/30-179    -            150 Bac_globin           PF01152.28   121      0.02   13.6   0.0   1   1    0.0022     0.036   12.8   0.0     9    58    27    75    24   133 0.75 tr|A0A261QDB9|A0A261QDB9_9BACI Chemotaxis protein OS=Bacillaceae bacterium SAS-127 OX=2015203 GN=CEW92_17335 PE=4 SV=1
A0A235CPP2/25-153    -            129 Bac_globin           PF01152.28   121      0.02   13.6   0.0   1   2     0.024      0.38    9.5   0.1    11    54    10    52     7    58 0.75 tr|A0A235CPP2|A0A235CPP2_9GAMM GGDEF domain-containing protein OS=Oceanimonas baumannii OX=129578 GN=B6S09_03070 PE=4 SV=1
A0A235CPP2/25-153    -            129 Bac_globin           PF01152.28   121      0.02   13.6   0.0   2   2       4.8        77    2.1   0.0    43    63    92   112    74   115 0.86 tr|A0A235CPP2|A0A235CPP2_9GAMM GGDEF domain-containing protein OS=Oceanimonas baumannii OX=129578 GN=B6S09_03070 PE=4 SV=1
A0A2E4CHJ2/18-168    -            151 Bac_globin           PF01152.28   121      0.02   13.6   0.0   1   1    0.0015     0.024   13.4   0.0    10    79    28    96    25   136 0.78 tr|A0A2E4CHJ2|A0A2E4CHJ2_PSEAS GGDEF domain-containing protein OS=Pseudoalteromonas sp. OX=53249 GN=CMK68_01015 PE=4 SV=1
A0A1Q9PS55/31-183    -            153 Bac_globin           PF01152.28   121      0.02   13.6   0.1   1   1    0.0017     0.028   13.2   0.1     9    79    27    96    26   136 0.75 tr|A0A1Q9PS55|A0A1Q9PS55_BACPF Heme-based aerotactic transducer (MCP) OS=Bacillus pseudofirmus OX=79885 GN=BTR22_09800 PE=4 SV=1
A0A376BEH9/17-166    -            150 Bac_globin           PF01152.28   121     0.021   13.6   0.3   1   2    0.0076      0.12   11.1   0.2     9   107    28   125    23   138 0.73 tr|A0A376BEH9|A0A376BEH9_ACIJU Diguanylate cyclase OS=Acinetobacter junii OX=40215 GN=dosC PE=4 SV=1
A0A376BEH9/17-166    -            150 Bac_globin           PF01152.28   121     0.021   13.6   0.3   2   2       3.8        62    2.4   0.0     2    22   117   137   115   145 0.85 tr|A0A376BEH9|A0A376BEH9_ACIJU Diguanylate cyclase OS=Acinetobacter junii OX=40215 GN=dosC PE=4 SV=1
D0SPH6/17-166        -            150 Bac_globin           PF01152.28   121     0.021   13.6   0.3   1   2    0.0076      0.12   11.1   0.2     9   107    28   125    23   138 0.73 tr|D0SPH6|D0SPH6_ACIJU Diguanylate cyclase (GGDEF) domain protein OS=Acinetobacter junii SH205 OX=575587 GN=HMPREF0026_02386 PE=4 SV=1
D0SPH6/17-166        -            150 Bac_globin           PF01152.28   121     0.021   13.6   0.3   2   2       3.8        62    2.4   0.0     2    22   117   137   115   145 0.85 tr|D0SPH6|D0SPH6_ACIJU Diguanylate cyclase (GGDEF) domain protein OS=Acinetobacter junii SH205 OX=575587 GN=HMPREF0026_02386 PE=4 SV=1
S7WDG1/17-166        -            150 Bac_globin           PF01152.28   121     0.021   13.6   0.3   1   2    0.0076      0.12   11.1   0.2     9   107    28   125    23   138 0.73 tr|S7WDG1|S7WDG1_ACIJU GGDEF domain protein OS=Acinetobacter junii MTCC 11364 OX=1330047 GN=L292_1299 PE=4 SV=1
S7WDG1/17-166        -            150 Bac_globin           PF01152.28   121     0.021   13.6   0.3   2   2       3.8        62    2.4   0.0     2    22   117   137   115   145 0.85 tr|S7WDG1|S7WDG1_ACIJU GGDEF domain protein OS=Acinetobacter junii MTCC 11364 OX=1330047 GN=L292_1299 PE=4 SV=1
A0A2U3AH67/35-186    -            152 Bac_globin           PF01152.28   121     0.021   13.6   0.0   1   1     0.002     0.032   13.0   0.0     9    79    27    96    26   137 0.78 tr|A0A2U3AH67|A0A2U3AH67_9BACL HemAT OS=Kurthia zopfii OX=1650 GN=hemAT_2 PE=4 SV=1
A0A1A7R8X6/28-159    -            132 Bac_globin           PF01152.28   121     0.021   13.6   1.5   1   2     0.025       0.4    9.4   0.2     9    50     6    46     5    52 0.73 tr|A0A1A7R8X6|A0A1A7R8X6_9GAMM Diguanylate cyclase OS=Acinetobacter gandensis OX=1443941 GN=A9J31_07400 PE=4 SV=1
A0A1A7R8X6/28-159    -            132 Bac_globin           PF01152.28   121     0.021   13.6   1.5   2   2       2.5        41    3.0   0.0    85   113    45    73    35    76 0.85 tr|A0A1A7R8X6|A0A1A7R8X6_9GAMM Diguanylate cyclase OS=Acinetobacter gandensis OX=1443941 GN=A9J31_07400 PE=4 SV=1
A0A3N6P9D3/30-202    -            173 Bac_globin           PF01152.28   121     0.021   13.6   0.0   1   1    0.0021     0.034   12.9   0.0    10    57    29    76    21   118 0.80 tr|A0A3N6P9D3|A0A3N6P9D3_9EURY Globin-coupled sensor protein OS=Natrarchaeobius chitinivorans OX=1679083 GN=EA473_08635 PE=4 SV=1
A0A0U2UQ58/6-156     -            151 Bac_globin           PF01152.28   121     0.021   13.6   0.0   1   1     0.002     0.032   13.0   0.0    13    57    31    74    25    99 0.84 tr|A0A0U2UQ58|A0A0U2UQ58_9BACL Chemotaxis protein OS=Paenibacillus naphthalenovorans OX=162209 GN=IJ22_48860 PE=4 SV=1
A0A264DMM5/8-156     -            149 Bac_globin           PF01152.28   121     0.021   13.6   0.0   1   1    0.0022     0.035   12.9   0.0    12    57    29    73    25    91 0.85 tr|A0A264DMM5|A0A264DMM5_9BACL Chemotaxis protein OS=Paenibacillus odorifer OX=189426 GN=CA596_29065 PE=4 SV=1
Q6ARU5/17-170        -            154 Bac_globin           PF01152.28   121     0.021   13.6   0.0   1   1    0.0017     0.028   13.2   0.0    10    99    29   117    26   137 0.74 tr|Q6ARU5|Q6ARU5_DESPS GGDEF domain-containing protein OS=Desulfotalea psychrophila (strain LSv54 / DSM 12343) OX=177439 GN=DP0201 PE=4 SV=1
A0A1R1ESA0/8-154     -            147 Bac_globin           PF01152.28   121     0.021   13.5   0.0   1   1    0.0022     0.035   12.9   0.0    11    57    28    73    25    83 0.83 tr|A0A1R1ESA0|A0A1R1ESA0_9BACL Chemotaxis protein OS=Paenibacillus rhizosphaerae OX=297318 GN=BK138_16360 PE=4 SV=1
A0A0B5GPN4/37-197    -            161 Bac_globin           PF01152.28   121     0.021   13.5   0.1   1   1    0.0028     0.045   12.5   0.1    10    80    28    98    25   156 0.70 tr|A0A0B5GPN4|A0A0B5GPN4_9EURY Heme transporter CcmD OS=Haloarcula sp. CBA1115 OX=1592728 GN=SG26_12490 PE=4 SV=1
